date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,7550.0,0.9187,2.7599
2015-06-30,7369.92,0.921,2.8273
2015-03-31,7064.0,0.93,2.8365
2014-12-31,6752.88,0.8564,2.7765
2014-09-30,6687.0,0.7627,2.5669
2014-06-30,6445.09,0.6774,2.4927
2014-03-31,6164.0,0.6489,2.3716
2013-12-31,5848.62,0.6477,2.4994
2013-09-30,5645.0,0.6023,2.501
2013-06-30,5472.61,0.5853,2.4992
2013-03-31,5267.0,0.5341,2.3473
2012-12-31,4967.2,0.5927,2.4891
2012-09-30,4735.97,0.5652,2.4711
2012-06-30,4537.36,0.5464,2.4604
2012-03-31,4224.53,0.53,2.3648
2011-12-31,4056.1,0.5264,2.3497
2011-09-30,3927.78,0.54,1.9256
2011-06-30,3755.09,0.5853,1.9564
2011-03-31,3553.03,0.66,2.06
2010-12-31,3347.32,0.6934,2.1295
2010-09-30,3240.28,0.72,1.913
2010-06-30,3102.94,0.7641,1.9495
2010-03-31,2913.41,0.82,2.0229
2009-12-31,2734.81,1.0224,2.2052
2009-09-30,2684.158,1.01,2.1457
2009-06-30,2498.24,1.1356,2.2759
2009-03-31,2181.95,1.33,2.4774
