date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,2147.95,0.9516,3.5915
2015-06-30,2040.49,0.9517,3.3039
2015-03-31,1869.95,0.9508,3.2609
2014-12-31,1746.85,0.9383,3.0561
2014-09-30,1673.19,0.9443,3.0405
2014-06-30,1613.02,0.9287,2.8047
2014-03-31,1542.54,0.8888,2.7058
2013-12-31,1469.61,0.89,2.6568
2013-09-30,1420.55,0.9165,2.6057
2013-06-30,1355.55,0.9221,2.6087
2013-03-31,1326.11,0.8265,2.5748
2012-12-31,1252.69,0.8334,2.6397
2012-09-30,1219.37,0.7832,2.6729
2012-06-30,1173.21,0.7518,2.6073
2012-03-31,1095.03,0.7342,2.5172
2011-12-31,1028.05,0.7811,2.5306
2011-09-30,979.42,0.8178,2.3948
2011-06-30,939.07,0.854,2.3062
2011-03-31,901.59,0.9051,2.2467
2010-12-31,838.92,0.9655,2.2662
2010-09-30,797.14,0.9785,2.1792
2010-06-30,762.88,1.0552,2.1494
2010-03-31,714.84,1.1359,2.1329
2009-12-31,670.28,1.2159,2.1125
2009-09-30,636.56,1.2599,2.1736
2009-06-30,600.34,1.3626,2.2439
2009-03-31,501.07,1.4748,2.4684
