公告日期,分红年度,送股,转增,派息,股权登记日,除权除息日,红股上市日
2015-07-01,2014,--,--,1.10,2015-07-06,2015-07-07,--
2014-12-25,2014,--,--,0.75,2015-01-08,2015-01-09,--
2014-06-18,2013,2,0,1.00,2014-06-24,2014-06-25,2014-06-26
2013-09-03,2013,--,--,1.58,2013-09-09,2013-09-10,--
2013-06-20,2012,--,--,1.50,2013-06-26,2013-06-27,--
2012-08-28,2012,0,0,1.50,2012-08-31,2012-09-03,--
2012-06-19,2011,0,0,3.00,2012-06-25,2012-06-26,--
2011-06-01,2010,0,0,1.00,2011-06-08,2011-06-09,--
2010-07-09,2009,2,0,0.50,2010-07-14,2010-07-15,2010-07-16
2009-05-20,2008,0,0,0.80,2009-05-25,2009-05-26,--
2008-03-31,2007,2,1,0.50,2008-04-03,2008-04-07,2008-04-08
2007-06-05,2006,0,2,0.00,2007-06-08,2007-06-11,2007-06-12
2006-04-11,2005,2,3,0.50,2006-04-14,2006-04-17,2006-04-18
2005-04-12,2004,2,0,0.70,2005-04-15,2005-04-18,2005-04-19
2004-04-13,2003,2,2,1.20,2004-04-16,2004-04-19,2004-04-20
2003-04-08,2002,2,1,0.60,2003-04-11,2003-04-14,2003-04-15
2002-06-13,2001,2,0,0.70,2002-06-18,2002-06-19,2002-06-20
2001-05-24,2000,0,3,2.00,2001-05-30,2001-05-31,2001-05-31
